,Duration,Destination,Gender,Age,userID,groupAge,destID,rating
41993,8,THAILAND,0,0,0,0-14,0,2
52109,10,THAILAND,0,0,0,0-14,0,2
17021,2,MALAYSIA,0,1,1,0-14,1,1
63211,56,SINGAPORE,0,1,1,0-14,2,1
57555,10,SINGAPORE,1,1,3,0-14,2,3
57748,33,SINGAPORE,1,1,3,0-14,2,3
60234,12,SINGAPORE,1,1,3,0-14,2,3
14362,17,SINGAPORE,0,3,7,0-14,2,1
42611,64,THAILAND,0,3,7,0-14,0,1
36549,80,SINGAPORE,1,3,9,0-14,2,2
42037,29,SINGAPORE,1,3,9,0-14,2,2
23547,8,THAILAND,0,5,12,0-14,0,1
36391,22,SINGAPORE,0,5,12,0-14,2,2
41427,17,SINGAPORE,0,5,12,0-14,2,2
44035,30,THAILAND,0,7,15,0-14,0,2
48202,38,MALAYSIA,0,7,15,0-14,1,1
52796,5,THAILAND,0,7,15,0-14,0,2
47208,40,THAILAND,1,7,18,0-14,0,1
62443,6,MALAYSIA,1,7,18,0-14,1,1
5313,43,MALAYSIA,0,8,20,0-14,1,2
25278,29,MALAYSIA,0,8,20,0-14,1,2
39665,50,THAILAND,0,8,20,0-14,0,2
47976,58,THAILAND,0,8,20,0-14,0,2
58546,7,SINGAPORE,0,8,20,0-14,2,1
10575,38,MALAYSIA,0,9,26,0-14,1,2
52066,24,MALAYSIA,0,9,26,0-14,1,2
14945,5,SINGAPORE,1,9,28,0-14,2,4
22481,6,SINGAPORE,1,9,28,0-14,2,4
36390,76,SINGAPORE,1,9,28,0-14,2,4
36392,79,SINGAPORE,1,9,28,0-14,2,4
4717,8,THAILAND,0,10,32,0-14,0,1
25138,64,CHINA,0,10,32,0-14,3,1
31360,88,MALAYSIA,0,10,32,0-14,1,3
42594,76,MALAYSIA,0,10,32,0-14,1,3
52589,47,MALAYSIA,0,10,32,0-14,1,3
10949,9,SINGAPORE,0,11,38,0-14,2,2
48965,55,SINGAPORE,0,11,38,0-14,2,2
55571,6,SINGAPORE,1,11,40,0-14,2,3
57006,27,SINGAPORE,1,11,40,0-14,2,3
57548,32,SINGAPORE,1,11,40,0-14,2,3
54925,11,LAO PEOPLE'S DEMOCRATIC REPUBLIC,0,12,43,0-14,4,1
55919,35,SINGAPORE,0,12,43,0-14,2,1
4185,13,SINGAPORE,1,12,45,0-14,2,2
52065,24,MALAYSIA,1,12,45,0-14,1,1
58224,87,SINGAPORE,1,12,45,0-14,2,2
2906,22,SINGAPORE,0,13,48,0-14,2,3
5160,7,SINGAPORE,0,13,48,0-14,2,3
28312,5,SINGAPORE,0,13,48,0-14,2,3
3192,20,SINGAPORE,1,13,51,0-14,2,2
4755,9,SINGAPORE,1,13,51,0-14,2,2
45834,68,"KOREA, REPUBLIC OF",1,13,51,0-14,5,1
50756,38,MALAYSIA,1,13,51,0-14,1,2
54926,39,MALAYSIA,1,13,51,0-14,1,2
31511,5,SINGAPORE,0,14,56,14-18,2,3
36395,80,SINGAPORE,0,14,56,14-18,2,3
48169,80,CHINA,0,14,56,14-18,3,2
48615,9,CHINA,0,14,56,14-18,3,2
52086,7,THAILAND,0,14,56,14-18,0,1
53779,4,SINGAPORE,0,14,56,14-18,2,3
1396,31,SINGAPORE,1,14,62,14-18,2,4
29442,16,SINGAPORE,1,14,62,14-18,2,4
42026,70,MALAYSIA,1,14,62,14-18,1,3
47543,84,CHINA,1,14,62,14-18,3,2
51634,56,SINGAPORE,1,14,62,14-18,2,4
52088,31,MALAYSIA,1,14,62,14-18,1,3
53121,26,SINGAPORE,1,14,62,14-18,2,4
53969,15,MALAYSIA,1,14,62,14-18,1,3
55878,8,CHINA,1,14,62,14-18,3,2
9258,41,"KOREA, REPUBLIC OF",0,15,71,14-18,5,1
27583,7,MALAYSIA,0,15,71,14-18,1,2
30701,4,SINGAPORE,0,15,71,14-18,2,3
30873,9,SINGAPORE,0,15,71,14-18,2,3
51627,56,SINGAPORE,0,15,71,14-18,2,3
52047,53,MALAYSIA,0,15,71,14-18,1,2
56058,36,BRUNEI DARUSSALAM,0,15,71,14-18,6,1
58346,17,NEW ZEALAND,0,15,71,14-18,7,1
28099,7,SINGAPORE,1,15,79,14-18,2,1
42585,81,MALAYSIA,1,15,79,14-18,1,2
47159,62,THAILAND,1,15,79,14-18,0,1
53963,22,MALAYSIA,1,15,79,14-18,1,2
10747,11,THAILAND,0,16,83,14-18,0,2
12083,4,THAILAND,0,16,83,14-18,0,2
29632,5,SINGAPORE,0,16,83,14-18,2,4
36394,31,SINGAPORE,0,16,83,14-18,2,4
42572,13,PHILIPPINES,0,16,83,14-18,8,1
48841,53,SINGAPORE,0,16,83,14-18,2,4
56111,14,SINGAPORE,0,16,83,14-18,2,4
58744,16,AUSTRALIA,0,16,83,14-18,9,1
1206,7,THAILAND,1,16,91,14-18,0,2
1935,93,UNITED ARAB EMIRATES,1,16,91,14-18,10,1
5315,35,SINGAPORE,1,16,91,14-18,2,8
15511,90,SINGAPORE,1,16,91,14-18,2,8
31505,35,SINGAPORE,1,16,91,14-18,2,8
46242,92,CHINA,1,16,91,14-18,3,1
47195,71,THAILAND,1,16,91,14-18,0,2
48214,18,SINGAPORE,1,16,91,14-18,2,8
55684,5,INDONESIA,1,16,91,14-18,11,1
55715,15,SINGAPORE,1,16,91,14-18,2,8
58540,27,SINGAPORE,1,16,91,14-18,2,8
59373,8,SINGAPORE,1,16,91,14-18,2,8
63215,7,SINGAPORE,1,16,91,14-18,2,8
7265,11,SINGAPORE,0,17,104,14-18,2,7
20057,69,BRUNEI DARUSSALAM,0,17,104,14-18,6,1
25844,34,INDIA,0,17,104,14-18,12,1
30156,64,SINGAPORE,0,17,104,14-18,2,7
44727,58,HONG KONG,0,17,104,14-18,13,1
47143,62,THAILAND,0,17,104,14-18,0,4
47783,20,SINGAPORE,0,17,104,14-18,2,7
54674,28,UNITED STATES,0,17,104,14-18,14,1
54726,8,THAILAND,0,17,104,14-18,0,4
55726,9,SINGAPORE,0,17,104,14-18,2,7
56113,14,SINGAPORE,0,17,104,14-18,2,7
56446,27,THAILAND,0,17,104,14-18,0,4
56990,9,SINGAPORE,0,17,104,14-18,2,7
