,Duration,Destination,Gender,Age,userID,groupAge,destID
41993,8,THAILAND,0,0,0,0-14,0
52109,10,THAILAND,0,0,0,0-14,0
17021,2,MALAYSIA,0,1,1,0-14,1
63211,56,SINGAPORE,0,1,1,0-14,2
57555,10,SINGAPORE,1,1,3,0-14,2
57748,33,SINGAPORE,1,1,3,0-14,2
60234,12,SINGAPORE,1,1,3,0-14,2
14362,17,SINGAPORE,0,3,7,0-14,2
42611,64,THAILAND,0,3,7,0-14,0
36549,80,SINGAPORE,1,3,9,0-14,2
42037,29,SINGAPORE,1,3,9,0-14,2
23547,8,THAILAND,0,5,12,0-14,0
36391,22,SINGAPORE,0,5,12,0-14,2
41427,17,SINGAPORE,0,5,12,0-14,2
44035,30,THAILAND,0,7,15,0-14,0
48202,38,MALAYSIA,0,7,15,0-14,1
52796,5,THAILAND,0,7,15,0-14,0
47208,40,THAILAND,1,7,18,0-14,0
62443,6,MALAYSIA,1,7,18,0-14,1
5313,43,MALAYSIA,0,8,20,0-14,1
25278,29,MALAYSIA,0,8,20,0-14,1
39665,50,THAILAND,0,8,20,0-14,0
47976,58,THAILAND,0,8,20,0-14,0
58546,7,SINGAPORE,0,8,20,0-14,2
10575,38,MALAYSIA,0,9,26,0-14,1
52066,24,MALAYSIA,0,9,26,0-14,1
14945,5,SINGAPORE,1,9,28,0-14,2
22481,6,SINGAPORE,1,9,28,0-14,2
36390,76,SINGAPORE,1,9,28,0-14,2
36392,79,SINGAPORE,1,9,28,0-14,2
4717,8,THAILAND,0,10,32,0-14,0
25138,64,CHINA,0,10,32,0-14,3
31360,88,MALAYSIA,0,10,32,0-14,1
42594,76,MALAYSIA,0,10,32,0-14,1
52589,47,MALAYSIA,0,10,32,0-14,1
10949,9,SINGAPORE,0,11,38,0-14,2
48965,55,SINGAPORE,0,11,38,0-14,2
55571,6,SINGAPORE,1,11,40,0-14,2
57006,27,SINGAPORE,1,11,40,0-14,2
57548,32,SINGAPORE,1,11,40,0-14,2
54925,11,LAO PEOPLE'S DEMOCRATIC REPUBLIC,0,12,43,0-14,4
55919,35,SINGAPORE,0,12,43,0-14,2
4185,13,SINGAPORE,1,12,45,0-14,2
52065,24,MALAYSIA,1,12,45,0-14,1
58224,87,SINGAPORE,1,12,45,0-14,2
2906,22,SINGAPORE,0,13,48,0-14,2
5160,7,SINGAPORE,0,13,48,0-14,2
28312,5,SINGAPORE,0,13,48,0-14,2
3192,20,SINGAPORE,1,13,51,0-14,2
4755,9,SINGAPORE,1,13,51,0-14,2
45834,68,"KOREA, REPUBLIC OF",1,13,51,0-14,5
50756,38,MALAYSIA,1,13,51,0-14,1
54926,39,MALAYSIA,1,13,51,0-14,1
31511,5,SINGAPORE,0,14,56,14-18,2
36395,80,SINGAPORE,0,14,56,14-18,2
48169,80,CHINA,0,14,56,14-18,3
48615,9,CHINA,0,14,56,14-18,3
52086,7,THAILAND,0,14,56,14-18,0
53779,4,SINGAPORE,0,14,56,14-18,2
1396,31,SINGAPORE,1,14,62,14-18,2
29442,16,SINGAPORE,1,14,62,14-18,2
42026,70,MALAYSIA,1,14,62,14-18,1
47543,84,CHINA,1,14,62,14-18,3
51634,56,SINGAPORE,1,14,62,14-18,2
52088,31,MALAYSIA,1,14,62,14-18,1
53121,26,SINGAPORE,1,14,62,14-18,2
53969,15,MALAYSIA,1,14,62,14-18,1
55878,8,CHINA,1,14,62,14-18,3
9258,41,"KOREA, REPUBLIC OF",0,15,71,14-18,5
27583,7,MALAYSIA,0,15,71,14-18,1
30701,4,SINGAPORE,0,15,71,14-18,2
30873,9,SINGAPORE,0,15,71,14-18,2
51627,56,SINGAPORE,0,15,71,14-18,2
52047,53,MALAYSIA,0,15,71,14-18,1
56058,36,BRUNEI DARUSSALAM,0,15,71,14-18,6
58346,17,NEW ZEALAND,0,15,71,14-18,7
28099,7,SINGAPORE,1,15,79,14-18,2
42585,81,MALAYSIA,1,15,79,14-18,1
47159,62,THAILAND,1,15,79,14-18,0
53963,22,MALAYSIA,1,15,79,14-18,1
10747,11,THAILAND,0,16,83,14-18,0
12083,4,THAILAND,0,16,83,14-18,0
29632,5,SINGAPORE,0,16,83,14-18,2
36394,31,SINGAPORE,0,16,83,14-18,2
42572,13,PHILIPPINES,0,16,83,14-18,8
48841,53,SINGAPORE,0,16,83,14-18,2
56111,14,SINGAPORE,0,16,83,14-18,2
58744,16,AUSTRALIA,0,16,83,14-18,9
1206,7,THAILAND,1,16,91,14-18,0
1935,93,UNITED ARAB EMIRATES,1,16,91,14-18,10
5315,35,SINGAPORE,1,16,91,14-18,2
15511,90,SINGAPORE,1,16,91,14-18,2
31505,35,SINGAPORE,1,16,91,14-18,2
